regime,scenario,alpha,source,model,effect,oracle_effect,abs_error
high_mobility,90100,1.0,calibrated_cell,residual_predictive,0.0,0.0,0.0
high_mobility,90101,1.0,calibrated_cell,residual_predictive,0.0,0.0,0.0
high_mobility,90102,1.0,calibrated_cell,residual_predictive,0.0,0.0,0.0
high_mobility,90103,1.0,calibrated_cell,residual_predictive,0.0,0.0,0.0
high_mobility,90104,1.0,calibrated_cell,residual_predictive,-0.08333333333333337,0.16666666666666674,0.2500000000000001
high_stress,90200,0.5,calibrated_cell,residual_idcal,-0.25,-0.25,0.0
high_stress,90201,0.5,calibrated_cell,residual_idcal,0.0,0.0,0.0
high_stress,90202,0.5,calibrated_cell,residual_idcal,0.0,0.16666666666666674,0.16666666666666674
high_stress,90203,0.5,calibrated_cell,residual_idcal,0.0,0.0,0.0
high_stress,90204,0.5,calibrated_cell,residual_idcal,0.0,0.0,0.0
id,90000,0.0,calibrated_cell,mechanistic_calibrated,0.0,0.0,0.0
id,90001,0.0,calibrated_cell,mechanistic_calibrated,0.0,0.0,0.0
id,90002,0.0,calibrated_cell,mechanistic_calibrated,0.0,0.0,0.0
id,90003,0.0,calibrated_cell,mechanistic_calibrated,0.0,0.0,0.0
id,90004,0.0,calibrated_cell,mechanistic_calibrated,0.0,0.0,0.0
weak_channel,90300,0.0,default_mechanistic,mechanistic_calibrated,0.0,-0.5,0.5
weak_channel,90301,0.0,default_mechanistic,mechanistic_calibrated,0.0,0.0,0.0
weak_channel,90302,0.0,default_mechanistic,mechanistic_calibrated,0.0,0.0,0.0
weak_channel,90303,0.0,default_mechanistic,mechanistic_calibrated,0.0,0.5,0.5
weak_channel,90304,0.0,default_mechanistic,mechanistic_calibrated,-0.025000000000000022,0.20833333333333337,0.2333333333333334
